NCT Number,Study Title,Study URL,Study Status,Conditions,Interventions,Sponsor,Collaborators,Study Type
NCT05601440,Liquid-biopsy Informed Platform Trial to Evaluate CDK4/6-inhibitor Resistant ER+/HER2- Metastatic Breast Cancer,https://clinicaltrials.gov/study/NCT05601440,RECRUITING,Breast Cancer,DRUG: RP-6306|DRUG: Gemcitabine|OTHER: Observation|DRUG: Niraparib|DRUG: Fulvestrant|DRUG: RP-3500,Canadian Cancer Trials Group,,INTERVENTIONAL
NCT07225114,Translation of Acoustic Angiography: Contrast Enhanced Super Resolution (CESR) Imaging,https://clinicaltrials.gov/study/NCT07225114,RECRUITING,Breast Cancer|Kidney Neoplasms|Liver Neoplasms,DRUG: contrast agent perflutren lipid|DEVICE: Ultrasound Imaging,UNC Lineberger Comprehensive Cancer Center,National Cancer Institute (NCI),INTERVENTIONAL
NCT07003074,A Clinical Study of TQB2102 Versus Docetaxel Plus Trastuzumab and Pertuzumab in the Treatment of HER2 Positive Recurrent or Metastatic Breast Cancer,https://clinicaltrials.gov/study/NCT07003074,RECRUITING,Breast Cancer,DRUG: TQB2102 for Injection|DRUG: Docetaxel combined + Trastuzumab +Pertuzumab,"Chia Tai Tianqing Pharmaceutical Group Nanjing Shunxin Pharmaceutical Co., Ltd.",,INTERVENTIONAL
NCT05846789,SOC Chemotherapy +/- Tocilizumab for Triple Negative and ER-low Breast Cancers,https://clinicaltrials.gov/study/NCT05846789,RECRUITING,Metastatic Breast Cancer|Triple Negative Breast Cancer|Estrogen-receptor-low Breast Cancer,DRUG: SOC Chemotherapy|DRUG: Tocilizumab,Kathy Miller,"Genentech, Inc.|Breast Cancer Research Foundation|Susan G Koman for the Cure Breast Cancer Foundation",INTERVENTIONAL
NCT06254690,The Dosing Regimen of Pyrotinib in HER2-positive Advanced First-line Breast Cancer: a Phase II Clinical Study,https://clinicaltrials.gov/study/NCT06254690,RECRUITING,Breast Cancer,DRUG: Pyrotinib dose escalation|DRUG: Pyrotinib dose normal,The First Affiliated Hospital with Nanjing Medical University,Zhongda Hospital|The Affiliated Nanjing Drum Tower Hospital of Nanjing University Medical School|Jingjiang People's Hospital|Yancheng First People's Hospital|Affiliated Hospital of Jiangnan University|Affiliated Hospital of Nantong University|Anhui Provincial Cancer Hospital|Huai'an First People's Hospital|The Affiliated Hospital of Xuzhou Medical University|Suzhou Municipal Hospital|Affiliated Hospital of Jiangsu University,INTERVENTIONAL
NCT06362096,"A Multicenter, Prospective Study of Diarrhea Tolerance of Pyrotinib Combined With Trastumab and Taxane in the First-line Treatment of HER2-positive Advanced Breast Cancer",https://clinicaltrials.gov/study/NCT06362096,NOT_YET_RECRUITING,Breast Cancer,DRUG: Trastuzumab+pyrotinib+taxene,Huihua Xiong,,INTERVENTIONAL
NCT06439693,The SAPPHO Study: Sequential Therapy With Curative Intent in de Novo HER2+ Metastatic Breast Cancer,https://clinicaltrials.gov/study/NCT06439693,RECRUITING,Breast Cancer Female|Breast Cancer|Breast Cancer Metastatic|Estrogen Receptor-positive Breast Cancer|HER2-positive Breast Cancer|Stage IV Breast Cancer,DRUG: Nab-Paclitaxel|DRUG: Paclitaxel|DRUG: Docetaxel|DRUG: Phesgo|DRUG: T-DM1|DRUG: Pertuzumab|DRUG: Trastuzumab Deruxtecan|DRUG: Trastuzumab Subcutaneous Subcutaneous|DRUG: Tucatinib|DRUG: Trastuzumab,Dana-Farber Cancer Institute,Translational Breast Cancer Research Consortium|Johns Hopkins University,INTERVENTIONAL
NCT06361940,Molecular Analyses to Predict Pathways of Endocrine Resistance Following Short Term Neoadjuvant Endocrine Treatment in Patients With Hormone Receptor-Positive HER2-negative Breast Cancer,https://clinicaltrials.gov/study/NCT06361940,RECRUITING,Breast Cancer,DRUG: Aromatase inhibitors or tamoxifen,Medical College of Wisconsin,,INTERVENTIONAL
NCT04215003,A Clinical Trial of Breast Cancer Neo-adjuvant Therapy Based on Molecular Pathway in FUSCC,https://clinicaltrials.gov/study/NCT04215003,RECRUITING,Breast Cancer,DRUG: A|DRUG: B|DRUG: CL4,Fudan University,,INTERVENTIONAL
NCT06268652,Patient Derived Organoid-guided Personalized Treatment Versus Treatment of Physician's Choice in Breast Cancer,https://clinicaltrials.gov/study/NCT06268652,RECRUITING,Breast Cancer|Refractory Breast Carcinoma,OTHER: Organoid-guided personalized treatment|DRUG: Gemcitabine|DRUG: Capecitabine|DRUG: Vinorelbine|DRUG: Eribulin,Sun Yat-sen University,,INTERVENTIONAL
NCT06642545,Efficacy and Safety Study of Disitamab Vedotin + RC148 vs. Albumin-Paclitaxone ± Toripalimab in HR-/HER2-low Breast Cancer,https://clinicaltrials.gov/study/NCT06642545,RECRUITING,Breast Cancer,DRUG: Disitamab Vedotin|DRUG: RC148|DRUG: Albumin-bound Paclitaxone|DRUG: Toripalimab,"RemeGen Co., Ltd.",,INTERVENTIONAL
NCT06561607,A Clinical Trial to Evaluate the Efficacy and Safety of TQB2102 for Injection Versus Investigator-Selected Chemotherapy in HER2 Low-Expressing Recurrent/Metastatic Breast Cancer,https://clinicaltrials.gov/study/NCT06561607,NOT_YET_RECRUITING,Breast Cancer,DRUG: TQB2102 for Injection|DRUG: Chemotherapy drug (Capecitabine/Paclitaxel/Albumin Paclitaxel),"Chia Tai Tianqing Pharmaceutical Group Co., Ltd.",,INTERVENTIONAL
NCT03546686,Peri-Operative Immune Checkpoint Inhibition and Cryoablation in Women With Triple-negative Breast Cancer,https://clinicaltrials.gov/study/NCT03546686,RECRUITING,Breast Cancer,DRUG: Pembrolizumab|PROCEDURE: Core Biopsy/Cryoablation|PROCEDURE: Breast Surgery|DRUG: Ipilimumab|DRUG: Nivolumab,University of Texas Southwestern Medical Center,Susan G. Komen Breast Cancer Foundation|Bristol-Myers Squibb|Boston Scientific Corporation|American Society of Clinical Oncology,INTERVENTIONAL
NCT06001086,A Phase II Clinical Study of Treatment With Disitamb Vedotin Plus Pyrotinib in HER2-positive Early Breast Cancer,https://clinicaltrials.gov/study/NCT06001086,RECRUITING,Breast Cancer,"DRUG: Disitamb Vedotin ,pyrotinib",The First Affiliated Hospital with Nanjing Medical University,First Affiliated Hospital of Wenzhou Medical University,INTERVENTIONAL
NCT06472583,Preoperative Immunotherapy Combined With Stereotactic Radiation Therapy Boost in the Treatment of HER2-negative Breast Cancer,https://clinicaltrials.gov/study/NCT06472583,RECRUITING,Breast Cancer,DRUG: Keytruda|RADIATION: Preoperative radiation therapy|DRUG: Placebo,Maria Sklodowska-Curie National Research Institute of Oncology,,INTERVENTIONAL
NCT07198724,ERADICATE: A Phase Ib/II Study of Elacestrant Plus Trastuzumab Deruxtecan in Patients With CDK4/6 Inhibitor and Endocrine-resistant HR+/HER2-low or HER2-ultralow Metastatic Breast Cancer,https://clinicaltrials.gov/study/NCT07198724,NOT_YET_RECRUITING,Metastatic Breast Cancer|HER2 Low Breast Carcinoma|HER2-negative Breast Cancer|Breast Cancer|Breast Cancer Female,DRUG: Elacestrant|DRUG: Trastuzumab Deruxtecan,"Sarah Sammons, MD","Stemline Therapeutics, Inc.",INTERVENTIONAL
NCT05896566,A Window-of-Opportunity Trial of Giredestrant +/- Triptorelin vs. Anastrozole + Triptorelin in Premenopausal Patients With ER-positive/HER2-negative Early Breast Cancer,https://clinicaltrials.gov/study/NCT05896566,RECRUITING,Breast Cancer,DRUG: Giredestrant|DRUG: Triptorelin|DRUG: Anastrozole,ETOP IBCSG Partners Foundation,Hoffmann-La Roche,INTERVENTIONAL
NCT05755048,FS-1502 Versus T-DM1 for HER2-Positive Unresectable Locally Advanced or Metastatic Breast Cancer,https://clinicaltrials.gov/study/NCT05755048,RECRUITING,Breast Cancer,"BIOLOGICAL: Investigational drug: Recombinant Anti-HER2 Humanized Monoclonal Antibody - Monomethyl Auristatin F Conjugates for Injection (FS-1502)|BIOLOGICAL: Control drug: Trastuzumab emtansine (Kadcyla, T-DM1)",Shanghai Fosun Pharmaceutical Industrial Development Co. Ltd.,,INTERVENTIONAL
NCT06604858,Neoadjuvant Pembrolizumab and Carboplatin Plus Paclitaxel for Stage I Triple-negative Breast Cancer,https://clinicaltrials.gov/study/NCT06604858,RECRUITING,Breast Cancer|Triple Negative Breast Cancer,DRUG: Pembrolizumab|DRUG: Carboplatin|DRUG: Paclitaxel,MedSIR,Merk Sharp & Dohme España S.A.,INTERVENTIONAL
NCT04573231,Evaluation of PSMA in HER2- AR+ Metastatic Breast Cancer,https://clinicaltrials.gov/study/NCT04573231,RECRUITING,Breast Cancer|HER2-negative Breast Cancer|Metastatic Breast Cancer,DRUG: 18F-DCFPyL,"University of Wisconsin, Madison",,INTERVENTIONAL
NCT05063136,Adjuvant Metronomic Capecitabine Plus Endocrine Therapy for HR+/HER2- Primary Breast Cancer,https://clinicaltrials.gov/study/NCT05063136,RECRUITING,Breast Cancer,DRUG: Capecitabine+endocrine therapy|DRUG: Placebo+endocrine therapy,Henan Cancer Hospital,,INTERVENTIONAL
NCT06328387,HCQ+ADC vs ADC in the Treatment of Advanced Breast Cancer,https://clinicaltrials.gov/study/NCT06328387,RECRUITING,Advanced Breast Cancer|Metastatic Breast Cancer,DRUG: Hydroxychloroquine|DRUG: Sacituzumab Govitecan|DRUG: Trastuzumab Deruxtecan,Sun Yat-Sen Memorial Hospital of Sun Yat-Sen University,,INTERVENTIONAL
NCT04824014,4FMFES-PET Imaging of ER+ Advanced Breast Cancers,https://clinicaltrials.gov/study/NCT04824014,RECRUITING,ER+ Breast Cancer,DIAGNOSTIC_TEST: 4FMFES-PET,Centre de recherche du Centre hospitalier universitaire de Sherbrooke,Canadian Cancer Society (CCS)|Université de Sherbrooke,INTERVENTIONAL
NCT06103864,A Phase III Study of Dato-DXd With or Without Durvalumab Compared With Investigator's Choice of Chemotherapy in Combination With Pembrolizumab in Patients With PD-L1 Positive Locally Recurrent Inoperable or Metastatic Triple-negative Breast Cancer,https://clinicaltrials.gov/study/NCT06103864,RECRUITING,Breast Cancer,DRUG: Dato-DXd|DRUG: Durvalumab|DRUG: Paclitaxel|DRUG: Nab-paclitaxel|DRUG: Gemcitabine|DRUG: Carboplatin|DRUG: Pembrolizumab,AstraZeneca,Daiichi Sankyo,INTERVENTIONAL
NCT05297617,Deescalation of Endocrine Therapy Duration in Women With HR+ HER2- Breast Cancer at Very Low Risk,https://clinicaltrials.gov/study/NCT05297617,RECRUITING,Breast Cancer,DRUG: Anti-aromatase inhibitor,UNICANCER,Agendia,INTERVENTIONAL
NCT04303988,A Phase II Study of Triple-negative Breast Cancer Brain Metastases.,https://clinicaltrials.gov/study/NCT04303988,RECRUITING,Breast Cancer,DRUG: SHR-1316|DRUG: Bevacizumab|DRUG: Cisplatin/Carboplatin,Fudan University,,INTERVENTIONAL
NCT07207070,"A Randomised, Open-label, Multicentre Phase III Clinical Study to Evaluate the Efficacy and Safety of JS105 Combined With Dalpiciclib and Fulvestrant Compared With Dalpiciclib and Fulvestrant in Patients With PIK3CA-mutated, HR-positive, HER2-negative Recurrent or Metastatic Breast Cancer.",https://clinicaltrials.gov/study/NCT07207070,RECRUITING,Breast Cancer,DRUG: JS105|DRUG: Dalpiciclib|DRUG: Fulvestrant 50 Mg/mL Intramuscular Solution,"Risen (Suzhou) Pharma Tech Co., Ltd.",,INTERVENTIONAL
NCT05464173,Chidamide in Combination With Abemaciclib and Endocrinotherapy（Doctor's Choice） in Breast Cancer Patients Previously Treated With Palbociclib,https://clinicaltrials.gov/study/NCT05464173,RECRUITING,Breast Cancer,DRUG: Chidamide|DRUG: Abemaciclib|DRUG: endocrinotherapy（doctor's choice）,"Biyun Wang, MD",,INTERVENTIONAL
NCT04965064,Trial of Neratinib Plus Capecitabine in Subjects With HER2-Negative Metastatic Breast Cancer With Brain Metastases and Abnormally Active HER2 Signaling,https://clinicaltrials.gov/study/NCT04965064,RECRUITING,Breast Cancer,DRUG: Capecitabine and Neratinib.,University of Rochester,,INTERVENTIONAL
NCT05519670,A Phase 1b/2 Trial Evaluating Safety and Efficacy of CAPecitabine in Combination With Ni-rapaRIb in HER2-negative Advanced Breast canCEr,https://clinicaltrials.gov/study/NCT05519670,NOT_YET_RECRUITING,Breast Cancer,DRUG: Niraparib Oral Product,Institut Paoli-Calmettes,GlaxoSmithKline,INTERVENTIONAL
NCT07076485,"Shortening Adjuvant Photon and Proton Irradiation (SAPPHIRe-II): A 4 Cohort, Randomized, Phase II Multi-center Trial Evaluating Shorter Schedules of Adjuvant Regional Nodal Irradiation Among Women and Men With Node-positive and High-risk Node-negative Invasive Breast Cancer",https://clinicaltrials.gov/study/NCT07076485,RECRUITING,Breast Cancer,RADIATION: Ultrahypofractionated Radiation|RADIATION: Moderately Hypofractionated Radiation,M.D. Anderson Cancer Center,,INTERVENTIONAL
NCT04922008,Stage I HER2 Positive Invasive Breast Cancer De-escalation Study(IRIS-C/D),https://clinicaltrials.gov/study/NCT04922008,NOT_YET_RECRUITING,Breast Cancer,DRUG: capecitabine and trastuzumab|DRUG: vinorelbine and trastuzumab,Fudan University,,INTERVENTIONAL
NCT05979220,Study of Dalpiciclib Combined With Letrozole in the Maintenance Treatment of HR Positive and HER2 Negative Metastatic Breast Cancer After First-line Chemotherapy,https://clinicaltrials.gov/study/NCT05979220,NOT_YET_RECRUITING,Breast Cancer,DRUG: Dalpiciclib combined with Letrozole,Shuangyue Liu,,INTERVENTIONAL
NCT06444269,Precision Medicine in Action: Phase II Trial of Response Adaptive Ablative Pre-operative SPBI (RAPS) and Non-operative Sentinel Lymph Node Biopsy in Patients With Early-stage ER+ Breast Cancer: RAPS Trial,https://clinicaltrials.gov/study/NCT06444269,RECRUITING,Breast Cancer,RADIATION: Radiomics on MRI|DRUG: microbubble CEUS Contrast Enhanced Ultrasound (CEUS),University of Texas Southwestern Medical Center,,INTERVENTIONAL
NCT04523857,ABemacicliB or Abemaciclib and HydroxYchloroquine to Target Minimal Residual Disease in Breast Cancer,https://clinicaltrials.gov/study/NCT04523857,RECRUITING,Breast Cancer,DRUG: Abemaciclib|DRUG: Hydroxychloroquine,Abramson Cancer Center at Penn Medicine,,INTERVENTIONAL
NCT05891093,Efficacy and Safety of Fluzoparib Combined With Adjuvant Endocrine Therapy for HR+/HER2- SNF3-subtype Early Breast Cancer (BCTOP-L-A01),https://clinicaltrials.gov/study/NCT05891093,RECRUITING,Breast Cancer,DRUG: Fluzoparib|DRUG: Anastrozole|DRUG: Letrozole|DRUG: Exemestane|DRUG: Tamoxifen|DRUG: Toremifene|DRUG: Abemaciclib|DRUG: LHRH agonist,Fudan University,,INTERVENTIONAL
NCT07299409,First-Line Sacituzumab Govitecan in Advanced Untreated Triple-Negative Breast Cancer Patients.,https://clinicaltrials.gov/study/NCT07299409,NOT_YET_RECRUITING,Advanced Triple Negative Breast Cancer|Breast Cancer Metastatic|Breast Cancer,DRUG: Sacituzumab Govitecan (SG),Nathalie Levasseur,British Columbia Cancer Agency,INTERVENTIONAL
NCT04920708,"Fulvestrant, Ipatasertib and CDK4/6 Inhibition in Metastatic ER+/HER2- Breast Cancer Patients Without ctDNA Suppression",https://clinicaltrials.gov/study/NCT04920708,RECRUITING,Metastatic Breast Cancer|ER+ Breast Cancer|Advanced Breast Cancer,DRUG: Ipatasertib 300mg|DRUG: Fulvestrant 500g|DRUG: Palbociclib 75mg-125mg|DRUG: CDK4/6 Inhibitor,Royal Marsden NHS Foundation Trust,Pfizer|Hoffmann-La Roche,INTERVENTIONAL
NCT06042894,A Study of SI-B003 or BL-B01D1+SI-B003 in Patients With Unresectable Locally Advanced or Recurrent Metastatic HER2 Negative Breast Cancer,https://clinicaltrials.gov/study/NCT06042894,RECRUITING,Breast Cancer,DRUG: BL-B01D1|DRUG: SI-B003,"Sichuan Baili Pharmaceutical Co., Ltd.",,INTERVENTIONAL
NCT06500208,Neoadjuvant Adebrelimab and Chemotherapy in High-rish ER+/HER2- BC,https://clinicaltrials.gov/study/NCT06500208,RECRUITING,Breast Cancer,"DRUG: Adebrelimab combined with nab-paclitaxel, epirubicin and cyclophosphamide",Shanghai Jiao Tong University School of Medicine,,INTERVENTIONAL
NCT07007559,ASPEN-09: A Study of Evorpacept in Combination With Anti-cancer Therapies in Advanced / Metastatic Malignancies,https://clinicaltrials.gov/study/NCT07007559,RECRUITING,"Breast Cancer, Metastatic",DRUG: Evorpacept (ALX148)|DRUG: Trastuzumab|DRUG: Paclitaxel|DRUG: Capecitabine|DRUG: Eribulin|DRUG: Gemcitabine|DRUG: Vinorelbine,ALX Oncology Inc.,,INTERVENTIONAL
NCT03150576,Platinum and Polyadenosine 5'Diphosphoribose Polymerisation Inhibitor for Neoadjuvant Treatment of Triple Negative Breast Cancer and/or Germline BRCA Positive Breast Cancer,https://clinicaltrials.gov/study/NCT03150576,RECRUITING,Breast Cancer,DRUG: Olaparib|DRUG: Paclitaxel and Carboplatin,Cambridge University Hospitals NHS Foundation Trust,AstraZeneca|Cancer Research UK,INTERVENTIONAL
NCT07100106,"A Study to Evaluate the Effect of GDC-4198 Alone and in Combination With Giredestrant Versus Abemaciclib and Giredestrant in Participants With Locally Advanced or Metastatic Estrogen Receptor-Positive (ER+), Human Epidermal Growth Factor Receptor-Negative (HER2-) Breast Cancer",https://clinicaltrials.gov/study/NCT07100106,RECRUITING,Breast Cancer,DRUG: GDC-4198|DRUG: Giredestrant|DRUG: Abemaciclib,"Genentech, Inc.",Roche (China) Holding Ltd.,INTERVENTIONAL
NCT06790693,"A Study Evaluating the Efficacy and Safety of Inavolisib Plus CDK4/6 Inhibitor and Letrozole vs Placebo + CDK4/6i and Letrozole in Participants With Endocrine-Sensitive PIK3CA-Mutated, Hormone Receptor-Positive, HER2-Negative Advanced Breast Cancer",https://clinicaltrials.gov/study/NCT06790693,RECRUITING,Breast Cancer,DRUG: Inavolisib|DRUG: Placebo|DRUG: CDK4/6i|DRUG: Letrozole,Hoffmann-La Roche,,INTERVENTIONAL
NCT05430399,Utidelone Versus Docetaxel in HER2-negative Locally Advanced or Metastatic Breast Cancer,https://clinicaltrials.gov/study/NCT05430399,RECRUITING,Breast Neoplasms|Locally Advanced or Metastatic Breast Cancer,DRUG: utidelone|DRUG: docetaxel,Sun Yat-sen University,"Beijing Biostar Pharmaceuticals Co., Ltd.|Hunan Cancer Hospital",INTERVENTIONAL
NCT04383275,Stage I HER2 Positive Invasive Breast Cancer De-escalation Study(IRIS),https://clinicaltrials.gov/study/NCT04383275,RECRUITING,Breast Cancer,DRUG: capecitabine and trastuzumab|DRUG: endocrine therapy and trastuzumab,Fudan University,,INTERVENTIONAL
NCT05925257,Digital Health Intervention to Improve Health Care and Outcomes for Breast Cancer Patients,https://clinicaltrials.gov/study/NCT05925257,RECRUITING,Breast Cancer,OTHER: ePRO application and proactive clinical care with nurses.,"Coordinación de Investigación en Salud, Mexico",,INTERVENTIONAL
NCT06247995,"A Phase I/II, Dose Finding and Optimization Study of [177Lu]Lu-NeoB in Combination With Capecitabine in Patients With GRPR+, ER+, HER2- Metastatic Breast Cancer After Progression on Previous Endocrine Therapy in Combination With a CDK4/6 Inhibitor.",https://clinicaltrials.gov/study/NCT06247995,RECRUITING,Breast Cancer,DRUG: [68Ga]Ga-NeoB|DRUG: [177Lu]Lu-NeoB|DRUG: Capecitabine,Novartis Pharmaceuticals,,INTERVENTIONAL
NCT05638594,"Pyrotinib Combined With Trastuzumab, Dalpiciclib, Letrozole Versus TCbHP (Trastuzumab Plus Pertuzumab With Docetaxel and Carboplatin) as Neoadjuvant Treatment in HR +/HER2 + Breast Cancer",https://clinicaltrials.gov/study/NCT05638594,RECRUITING,Breast Cancer,DRUG: Pyrotinib|DRUG: Trastuzumab|DRUG: Dalpiciclib|DRUG: Letrozole|DRUG: Pertuzumab|DRUG: Docetaxel|DRUG: Carboplatin|DRUG: Gonadotropin-releasing hormone agonist,Shengjing Hospital,,INTERVENTIONAL
NCT03815890,Pre-operative Trial for Breast Cancer With Nivolumab in Combination With Novel IO,https://clinicaltrials.gov/study/NCT03815890,RECRUITING,Breast Cancer,DRUG: Nivolumab|DRUG: Ipilimumab|DRUG: Ipilimumab,The Netherlands Cancer Institute,Bristol-Myers Squibb,INTERVENTIONAL
NCT05780567,Clinical Study on Adjuvant Therapy of TQB3616 Combined With Endocrine Therapy Compared With Placebo Combined With Endocrine Therapy in Patients With Breast Cancer,https://clinicaltrials.gov/study/NCT05780567,RECRUITING,Breast Cancer,"DRUG: TQB3616 capsules, Letrozole, Anastrozole, Tamoxifen|DRUG: Placebo capsules, Letrozole, Anastrozole, Tamoxifen","Chia Tai Tianqing Pharmaceutical Group Co., Ltd.",,INTERVENTIONAL
NCT04137653,Treatment of Triple-negative Breast Cancer With Albumin-bound Paclitaxel as Neoadjuvant Therapy: a Prospective RCT,https://clinicaltrials.gov/study/NCT04137653,RECRUITING,Breast Cancer,DRUG: nab-Paclitaxel+carboplatin|DRUG: Paclitaxel+carboplatin,Shengjing Hospital,,INTERVENTIONAL
NCT06441890,BRE-10: Biomarker Optimization of Neoadjuvant Therapy in Breast Cancer,https://clinicaltrials.gov/study/NCT06441890,RECRUITING,Breast Cancer|HER2-positive Breast Cancer,DRUG: Paclitaxel|DRUG: Nab-paclitaxel|DRUG: Docetaxel|DRUG: Trastuzumab|DRUG: Pertuzumab,University of Illinois at Chicago,,INTERVENTIONAL
NCT05919108,Neoadjuvant Neratinib in Stage I-III HER2-Mutated Lobular Breast Cancers,https://clinicaltrials.gov/study/NCT05919108,RECRUITING,Anatomic Stage I Breast Cancer|Anatomic Stage II Breast Cancer|Anatomic Stage III Breast Cancer|Invasive Breast Lobular Carcinoma,PROCEDURE: Endocrine Therapy|PROCEDURE: Biopsy of breast|DRUG: Neratinib|PROCEDURE: Biospecimen Collection|PROCEDURE: Mammogram|PROCEDURE: Magnetic Resonance Imaging|PROCEDURE: Breast Surgery|PROCEDURE: Ultrasound,Vanderbilt-Ingram Cancer Center,"National Cancer Institute (NCI)|Puma Biotechnology, Inc.",INTERVENTIONAL
NCT03488693,Regional Radiotherapy in Biomarker Low-Risk Node Positive and T3N0 Breast Cancer,https://clinicaltrials.gov/study/NCT03488693,RECRUITING,Breast Cancer,RADIATION: Radiation|OTHER: No Radiation,Canadian Cancer Trials Group,Alliance for Clinical Trials in Oncology|Eastern Cooperative Oncology Group|NRG Oncology|SWOG Cancer Research Network,INTERVENTIONAL
NCT04851613,Study to Evaluate Efficacy & Safety of Afuresertib Plus Fulvestrant in Patients With Locally Advanced or Metastatic HR+/HER2- Breast Cancer,https://clinicaltrials.gov/study/NCT04851613,RECRUITING,Breast Cancer,DRUG: Afuresertib|DRUG: Afuresertib/placebo,Laekna Limited,,INTERVENTIONAL
NCT05879926,"Evaluating the Addition of Adjuvant Chemotherapy to Ovarian Function Suppression Plus Endocrine Therapy in Premenopausal Patients With pN0-1, ER-Positive/HER2-Negative Breast Cancer and an Oncotype Recurrence Score Less Than or Equal to 25",https://clinicaltrials.gov/study/NCT05879926,RECRUITING,Breast Cancer,DRUG: Ovarian Function Suppression + Aromatase Inhibitor|DRUG: Adjuvant Chemotherapy + Ovarian Function Suppression,NRG Oncology,National Cancer Institute (NCI),INTERVENTIONAL
NCT06135714,Metastasis-directed Therapy for Oligometastases of Breast Cancer,https://clinicaltrials.gov/study/NCT06135714,RECRUITING,Breast Cancer|Oligometastasis|Metastatic Breast Cancer,DRUG: Systemic therapy for 12 weeks after primary registration|PROCEDURE: Radiation therapy (SBRT/conventional RT)|PROCEDURE: Surgery|DRUG: Same systemic therapy after secondary registration,Tokyo Medical and Dental University,,INTERVENTIONAL
NCT03946202,KORTUC Phase II - Intra-tumoural Radiation Sensitizer in Patients With Locally Advanced/Recurrent Breast Cancer,https://clinicaltrials.gov/study/NCT03946202,RECRUITING,Breast Cancer,DRUG: Hydrogen Peroxide,"Institute of Cancer Research, United Kingdom","Kortuc, Inc.",INTERVENTIONAL
NCT03829553,Hypofractionated Irradiation At Regional Nodal Area for Breast Cancer Vs Existed Standard Treatment,https://clinicaltrials.gov/study/NCT03829553,RECRUITING,Breast Cancer,RADIATION: Hypofractionated radiotherapy|RADIATION: Conventional radiotherapy,Ruijin Hospital,"RenJi Hospital|Shanghai 10th People's Hospital|Shanghai Ninth People's Hospital Affiliated to Shanghai Jiao Tong University|Shanghai Zhongshan Hospital|Sun Yat-Sen Memorial Hospital of Sun Yat-Sen University|Affiliated Hospital of Jiangnan University|Cancer Hospital of the University of Chinese Academy of Sciences (Zhejiang Cancer Hospital)|The Affiliated Tumor Hospital of Nantong University, Nantong, Jiangsu Province, China",INTERVENTIONAL
NCT06470633,To Evaluate the Efficacy of Adebrelimab Combined With Chemotherapy After HIFU Induction Neoadjuvant Therapy HR+/HER2- Breast Cancer,https://clinicaltrials.gov/study/NCT06470633,NOT_YET_RECRUITING,Breast Cancer|HR+/HER2- Breast Cancer,DRUG: Adebrelimab|PROCEDURE: High Intensity Focused Ultrasoun（HIFU）|DRUG: Cyclophosphamide|DRUG: Epirubicin|DRUG: Docetaxel,The First Affiliated Hospital with Nanjing Medical University,"Jiangsu Hengrui Pharmaceutical Co., Ltd.",INTERVENTIONAL
NCT06341842,Potential Protective Role of SGLT-2 Inhibitors for Chemotherapy-induced Cardiotoxicity,https://clinicaltrials.gov/study/NCT06341842,RECRUITING,Breast Cancer,DRUG: Dapagliflozin 10mg Tab,Fondazione IRCCS Policlinico San Matteo di Pavia,,INTERVENTIONAL
NCT06833502,Phase II Study of Systemic Screening in Pathologic Node Positive Breast Cancer,https://clinicaltrials.gov/study/NCT06833502,RECRUITING,Breast Cancer|Node-positive Breast Cancer,OTHER: CT Scan,H. Lee Moffitt Cancer Center and Research Institute,Florida Breast Cancer Foundation,INTERVENTIONAL
NCT05159193,Neoadjuvant Treatment Pegylated Liposomal Doxorubicin Plus Cyclophosphamide Sequential Docetaxel Plus Trastuzumab and Pertuzumab Versus Docetaxel Plus Carboplatin Combined With Trastuzumab and Pertuzumab in HER-2 Positive Breast Cancer,https://clinicaltrials.gov/study/NCT05159193,RECRUITING,Breast Cancer,DRUG: pegylated liposomal doxorubicin (PLD)|DRUG: cyclophosphamide (C)|DRUG: trastuzumab (H)|DRUG: pertuzumab (P)|DRUG: docetaxel (T)|DRUG: docetaxel (T)|DRUG: carboplatin (Cb)|DRUG: trastuzumab (H)|DRUG: pertuzumab (P),Sun Yat-Sen Memorial Hospital of Sun Yat-Sen University,"CSPC Ouyi Pharmaceutical Co., Ltd.",INTERVENTIONAL
NCT03879577,Assessing the Response Rate of Neo-adjuvant Taxotere and Trastuzumab in Nigerian Women With Breast Cancer,https://clinicaltrials.gov/study/NCT03879577,RECRUITING,Breast Cancer|Breast Cancer Female|HER2-positive Breast Cancer|Breast Cancer Stage II|Breast Cancer Stage III,DRUG: Docetaxel|DRUG: Herceptin|DRUG: FEC|DRUG: Tamoxifen|DRUG: Letrozole|DRUG: LHRH agonist,University of Chicago,,INTERVENTIONAL
NCT05172518,Utidelone Plus Capecitabine Versus Taxane Plus Capecitabine in HER2-negative Locally Advanced or Metastatic Breast Cancer,https://clinicaltrials.gov/study/NCT05172518,NOT_YET_RECRUITING,Breast Neoplasms|Locally Advanced or Metastatic Breast Cancer,DRUG: Taxane plus Intermittent Capecitabine|DRUG: Utidelone plus Intermittent Capecitabine|DRUG: Taxane plus Metronomic Capecitabine|DRUG: Utidelone plus Metronomic Capecitabine,Sun Yat-sen University,Chengdu Biostar Pharmaceuticals,INTERVENTIONAL
NCT06311695,Contrast-Enhanced Spectral Mammography (CESM),https://clinicaltrials.gov/study/NCT06311695,RECRUITING,Breast Cancer,DEVICE: Contrast Enhanced Mammography,European Institute of Oncology,,INTERVENTIONAL
