NCT Number,Study Title,Study URL,Study Status,Conditions,Interventions,Sponsor,Collaborators,Study Type
NCT07101614,A Randomized Study of JS004 and Toripalimab Combined With Chemotherapy vs Toripalimab Combined With Chemotherapy vs Chemotherapy Alone as Neoadjuvant Therapy for Stage II-III Triple-negative Breast Cancer (TNBC).,https://clinicaltrials.gov/study/NCT07101614,NOT_YET_RECRUITING,TNBC - Triple-Negative Breast Cancer,DRUG: JS004 in combination with toripalimab and chemotherapy|DRUG: Toripalimab and chemotherapy|DRUG: Chemotherapy,Shengjing Hospital,,INTERVENTIONAL
NCT06016387,Tucatinib With Brain and/or Spinal XRT in Patients With HER2+ Metastatic Breast Cancer and LMD,https://clinicaltrials.gov/study/NCT06016387,RECRUITING,HER2-positive Breast Cancer|LMD,DRUG: Tucatinib 150 MG|DRUG: Trastuzumab|DRUG: Capecitabine|RADIATION: Brain & Spinal Radiation,Sunnybrook Health Sciences Centre,Biocon Biologics|Pfizer,INTERVENTIONAL
NCT05458674,Tucatinib+Trastuzumab+Eribulin in HER2+ MBC,https://clinicaltrials.gov/study/NCT05458674,RECRUITING,Breast Cancer|Pretreated Unresectable Locally Advanced or Metastatic HER2+ Breast Cancer,DRUG: Tucatinib|DRUG: Eribulin|DRUG: Trastuzumab,"Criterium, Inc.",,INTERVENTIONAL
NCT04273555,Monitoring Early Response to Targeted Therapy in Stage IV HER2+ Breast Cancer Patients with Advanced PET/MR Imaging,https://clinicaltrials.gov/study/NCT04273555,RECRUITING,HER2-positive Breast Cancer,DRUG: [18F]-FDG,University of Alabama at Birmingham,,INTERVENTIONAL
NCT06627712,SBRT Combined With PD-1 Inhibitor and Chemotherapy in Early-stage TNBC,https://clinicaltrials.gov/study/NCT06627712,NOT_YET_RECRUITING,TNBC - Triple-Negative Breast Cancer,DRUG: SBRT+PD-1 Inhibitor + Chemotherapy|DRUG: PD-1 Inhibitor + Chemotherapy,West China Hospital,,INTERVENTIONAL
NCT05999149,A Study of Camrelizumab Plus Chemotherapy in Combination With or Without Famitinib as Neoadjuvant Therapy in Participants With Triple Negative Breast Cancer (BCTOP-T-N01),https://clinicaltrials.gov/study/NCT05999149,RECRUITING,TNBC - Triple-Negative Breast Cancer,DRUG: Camrelizumab Plus Chemotherapy and Famitinib|DRUG: Camrelizumab Plus Chemotherapy,Fudan University,,INTERVENTIONAL
NCT06088056,A Phase II Study of T-DXd Plus SRT in HER2-positive Breast Cancer Brain Metastases,https://clinicaltrials.gov/study/NCT06088056,NOT_YET_RECRUITING,Breast Cancer|Brain Metastases|Radiotherapy,DRUG: Combination use of SRT with T-DXd,Fudan University,,INTERVENTIONAL
NCT04300556,"A Study to Evaluate the Safety, Tolerability, and Efficacy of MORAb-202 (Herein Referred to as Farletuzumab Ecteribulin), a Folate Receptor Alpha (FRα)-Targeting Antibody-drug Conjugate (ADC) in Participants With Selected Tumor Types",https://clinicaltrials.gov/study/NCT04300556,RECRUITING,Solid Tumor,DRUG: Farletuzumab ecteribulin|DRUG: Prednisone|DRUG: Prednisolone|DRUG: Dexamethasone|DRUG: Lenvatinib,Eisai Inc.,,INTERVENTIONAL
NCT06595563,HER2 Molecular Imaging With 89Zr-trastuzumab PET/CT as a Predictive Biomarker for Antibody-drug Conjugate Sequencing in Patients With Advanced HER2-positive Breast Cancer,https://clinicaltrials.gov/study/NCT06595563,NOT_YET_RECRUITING,HER2-positive Metastatic Breast Cancer|HER2-positive Advanced Breast Cancer,DRUG: Trastuzumab emtansine,Jules Bordet Institute,Hoffmann-La Roche,INTERVENTIONAL
NCT05703178,Web-based Pain Coping Skills Training for Breast Cancer Survivors With AI-Associated Arthralgia,https://clinicaltrials.gov/study/NCT05703178,RECRUITING,"Breast Cancer|Arthralgia|Pain, Chronic",BEHAVIORAL: Online Pain Coping Skills Training|OTHER: Education,Northwestern University,Duke University|National Cancer Institute (NCI),INTERVENTIONAL
